Word,Count
ashore,788
wreck,768
wrecked,758
none,546
sank,496
went,446
water,362
driven,340
seabed,207
loss,206
struck,173
washed,153
foundered,152
broke,149
sunk,139
smack,124
ran,113
rocks,110
discovered,96
collided,90
wreckage,87
abandoned,83
filled,69
wrecks,67
broken,65
down,63
river,60
torpedoed,60
uboat,59
shore,56
aground,55
capsized,52
fire,46
tide,41
sunken,34
sinking,33
parted,32
derelict,32
rudder,31
anchored,30
mast,29
burnt,28
grounded,26
hit,20
collision,19
sink,18
destruction,17
dismasted,16
reef,13
destroyed,13
shallow,11
bottom,11
drifting,11
waterlogged,9
burned,8
running,6
explosion,6
sloops,6
control,6
tides,5
upwards,5
lowwater,5
stricken,5
shot,5
currents,4
explosive,4
pierced,3
sandbank,3
cliffs,3
burning,2
keeled,1
upturned,1
